sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,timestamp_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,timestamp_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,timestamp_P2,value_type_P2,value_P2
145,DHT22,3528,-0.286,36.067,2023-02-04 05:32:16.008494+00:00,temperature,16,2023-02-04 05:32:16+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:32:16.008494+00:00,humidity,95,144,SDS011,3528,-0.286,36.067,2023-02-04 05:32:16.010067+00:00,P1,35.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:32:16.010067+00:00,P2,16.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:34:56.099353+00:00,temperature,17,2023-02-04 05:34:56+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:34:56.099353+00:00,humidity,95,144,SDS011,3528,-0.286,36.067,2023-02-04 05:34:56.099389+00:00,P1,28.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:34:56.099389+00:00,P2,15.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:37:36.164356+00:00,temperature,17,2023-02-04 05:37:36+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:37:36.164356+00:00,humidity,95,144,SDS011,3528,-0.286,36.067,2023-02-04 05:37:36.164372+00:00,P1,39.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:37:36.164372+00:00,P2,17.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:40:16.695914+00:00,temperature,17,2023-02-04 05:40:16+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:40:16.695914+00:00,humidity,93,144,SDS011,3528,-0.286,36.067,2023-02-04 05:40:16.696439+00:00,P1,22.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:40:16.696439+00:00,P2,13.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:42:55.878309+00:00,temperature,17,2023-02-04 05:42:55+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:42:55.878309+00:00,humidity,92,144,SDS011,3528,-0.286,36.067,2023-02-04 05:42:55.878611+00:00,P1,35.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:42:55.878611+00:00,P2,15.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:45:36.175949+00:00,temperature,17,2023-02-04 05:45:36+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:45:36.175949+00:00,humidity,93,144,SDS011,3528,-0.286,36.067,2023-02-04 05:45:36.175555+00:00,P1,23.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:45:36.175555+00:00,P2,13.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:48:16.730858+00:00,temperature,18,2023-02-04 05:48:16+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:48:16.730858+00:00,humidity,92,144,SDS011,3528,-0.286,36.067,2023-02-04 05:48:16.730855+00:00,P1,36.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:48:16.730855+00:00,P2,12.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:50:57.144848+00:00,temperature,18,2023-02-04 05:50:57+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:50:57.144848+00:00,humidity,92,144,SDS011,3528,-0.286,36.067,2023-02-04 05:50:57.144978+00:00,P1,63.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:50:57.144978+00:00,P2,17.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:53:37.412568+00:00,temperature,18,2023-02-04 05:53:37+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:53:37.412568+00:00,humidity,91,144,SDS011,3528,-0.286,36.067,2023-02-04 05:53:37.419565+00:00,P1,12.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:53:37.419565+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:56:16.663044+00:00,temperature,18,2023-02-04 05:56:16+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:56:16.663044+00:00,humidity,90,144,SDS011,3528,-0.286,36.067,2023-02-04 05:56:16.663046+00:00,P1,20.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:56:16.663046+00:00,P2,7.0
